ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
1,1,道路交通管理處罰條例部分條文修正草案,2005/3/4,2005/12/9,三讀,1,1,1,0,葉宜津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,管碧玲,王拓,陳啟昱,陳景峻,王塗發,江昭儀,盧博基,陳憲中,余政道,曹來旺,林國慶,張川田,陳朝龍,潘孟安,邱永仁,張俊雄,徐國勇,黃劍輝,盧天麟,鄭運鵬,郭俊銘,林進興,莊和子,沈發惠,高建智,藍美津,黃淑英,林為洲,王幸男,顏文章,李昆澤,鄭國忠,陳明真,謝欣霓,王世勛,王榮璋,魏明谷,陳秀惠,陳盈,湯火聖,彭紹瑾,尤清,王淑慧,林耘生,高志鵬,林濁水,陳重信,蔡英文,蕭美琴,李鎮楠,,,,,,,,,,,,,,"本院委員葉宜津等51人,鑑於現行道路交通管理處罰條例自
五十七年發布後,雖歷經十次修正,僅於第四次(七十五年
)修正時作全文檢討修正,其後因立法委員提案、行政程序
法施行及因應酒醉駕車與大型車肇事等作部分條文修正,造
成本條例存在許久之制度性與結構性問題未能根本解決,例
如聲明異議期間前後條文不一致、罰緩銀元與新臺幣同時存
在、高額罰緩與三千元之罰 易處吊扣時間相同等。又因時
、空環境變遷急速,各地交通主管機關雖陸續成立,惟其定
位不明,造成權責區分不清,衍生各項執行爭議。再者,本
條例之罰緩額度、吊扣(銷)、註銷駕駛執照與汽車牌照期
間之原則及比例等均有必要檢討調整,使具合理性與一致性
。因此有全盤檢討本條例及相關法規命令,並將重要函釋及
行政規則納入法令明確規定,俾讓民眾明瞭法令規範,縮小
民眾與執法人員對法令認知差距,減少交通執法爭議,特擬
具「道路交通管理處罰條例部分條文修正草案」,是否有當
?敬請公決。"
2,1,八二三戰役參戰官兵晚年生活照顧特別條例草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭輝,李復興,廖婉汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,林建榮,章仁香,許舒博,楊麗環,黃德福,蔡正元,紀國棟,朱鳳芝,劉盛良,廖國棟,曹爾忠,張慶忠,吳志揚,吳英毅,羅世雄,江連福,孔文吉,葉芳雄,陳秀卿,伍錦霖,吳光訓,吳敦義,鍾紹和,張昌財,李全教,楊瓊瓔,侯彩鳳,黃敏惠,黃健庭,林益世,劉政鴻,林正峰,吳松柏,謝文政,吳成典,蔡家福,林炳坤,趙良燕,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、廖婉汝等43人,為感念當年參與
八二三戰役參戰官兵捍衛台澎金馬安全,著有重大貢獻,為
彰顯憲法保障退役軍人就學、就醫、就養之精神,特擬具「
八二三戰役參戰官兵晚年生活照顧特別條例草案」,是否有
當,敬請公決。"
3,1,退伍軍人福利法草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,章仁香,許舒博,紀國棟,林建榮,王昱婷,楊麗環,黃德福,劉銓忠,白添枝,朱鳳芝,劉盛良,吳志揚,鍾紹和,羅世雄,吳英毅,曹爾忠,江連福,廖國棟,孔文吉,葉芳雄,張慶忠,陳秀卿,伍錦霖,吳光訓,吳敦義,楊瓊瓔,黃健庭,張昌財,林益世,侯彩鳳,李全教,劉政鴻,蘇起,林正峰,吳松柏,謝文政,趙良燕,林炳坤,蔡家福,吳成典,,,,,,,,,,,,,,,,,,,,,,,":本院委員黃昭順、李復興、黃敏惠等45人,為維護退伍軍人
應有之尊嚴和福祉,特制訂「退伍軍人福利法」草案,以促
進社會安定,增強國軍戰力。是否有當,敬請公決。"
4,1,攤販條例草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,朱鳳芝,林建榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,白添枝,劉盛良,張慶忠,吳英毅,孔文吉,曹爾忠,江連福,葉芳雄,陳秀卿,伍錦霖,吳光訓,吳敦義,吳志揚,羅世雄,鍾紹和,廖國棟,黃敏惠,廖婉汝,侯彩鳳,楊瓊瓔,黃健庭,李全教,吳松柏,張昌財,劉政鴻,謝文政,蘇起,曹壽民,林益世,林正峰,吳成典,蔡家福,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、朱鳳芝、林建榮等43人,為隨著
經濟社會快速發展、國民所得增加、國民生活水準日益提升
,有關商業秩序之重建與維護,已成為社會大眾矚目與關切
的焦點。而攤販亦為商業規範之一環,為落實攤販之管理,
制定全國一致性之法律。爱擬具「攤販條例草案」。是否有
當,敬請公決。"
5,1,殯葬管理條例第七十二條條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,徐少萍,朱鳳芝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林建榮,蔡正元,許舒博,章仁香,王昱婷,楊麗環,劉銓忠,白添枝,黃德福,紀國棟,廖國棟,張慶忠,吳光訓,吳志揚,吳英毅,羅世雄,曹爾忠,江連福,劉盛良,吳敦義,孔文吉,葉芳雄,陳秀卿,伍錦霖,鍾紹和,黃敏惠,廖婉汝,林益世,黃健庭,楊瓊瓔,侯彩鳳,張昌財,蘇起,曹壽民,林正峰,李全教,劉政鴻,吳松柏,謝文政,趙良燕,吳成典,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、徐少萍、朱鳳芝等45人,為寺院
、宮廟、教會附設納骨、公墓設施由來已久,為宗教文化之
一,惟多數未能依規定申請設置,為解決寺廟附設納骨、公
墓設施之問題,擬針對「殯葬管理條例第七十二條」提案修
正,是否有當,敬請公決。"
6,1,社會福利基本法草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,黃敏惠,廖婉汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,章仁香,蔡正元,王昱婷,許須博,蘇起,楊麗環,黃德福,紀國棟,林建榮,白添枝,劉盛良,曹爾忠,吳英毅,江連福,孔文吉,葉芳雄,張慶忠,陳秀卿,朱鳳芝,吳志揚,伍錦霖,吳光訓,吳敦義,鍾紹和,羅世雄,廖國棟,楊瓊瓔,林益世,林正峰,黃健庭,張昌財,侯彩鳳,李全教,劉政鴻,吳松柏,謝文政,林炳坤,蔡家福,趙良燕,吳成典,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、黃敏惠、廖婉汝等45人,為多年
來政府為推展社會福利,分別制定各項法律據以實施。但部
分福利法規仍互有重複、不足或欠缺整合之現象,憲法增修
條文雖已增列社會福利之範圍及項目,惟對社會福利之基本
方針、中央與地方權限之劃分、社會福利體制實施原則、社
會福利經費、社會福利專業人力、民間團體或個人興辦社會
福利事業等仍欠缺具體規範,亟待制定基本法予以充實。爱
擬具「社會福利基本法草案」,是否有當,敬請公決。"
7,1,社會福利基本法草案,2005/3/4,2005/3/4,交付審查,0,0,0,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃政哲,陳銀河,何敏豪,劉寬平,尹伶瑛,楊宗哲,羅志明,曾燦燈,黃宗源,黃適卓,曹來旺,張川田,蔡同榮,李鎮楠,莊碩漢,盧博基,徐國勇,黃偉哲,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,鄭運鵬,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,湯火聖,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙等35人,鑑於台灣從民國70年代到80年代
歷經了經濟的高度成長,經濟上的發展促使社會型態產生據
烈的變化,但與此同時整體社會安全體系卻未跟上經濟成長
的腳步,因而產生社會脫序的現象。盱衡歐美發展之歷史軌
跡,當經濟高度發展之時,必須建構整體社會安全機制,才
能紓解因經濟發展所帶來貧富差距擴大、家庭結構改變等社
會問題,而社會福利可謂是社會安全機制最重要之一環;現
今國內各種社會福利法規多樣且分歧,未能有一原則性法律
加以規範與整合,故制定社會福利基本法實有其急迫性,此
法之制定將有利於政府順利推動各項福利措施,儘速建構一
完整之社會安全機制。故為促進我國社會福利,爱提出社會
福利基本法,是否有當,敬請公決。"
8,1,勞工保險條例部分條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,徐少萍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,許舒博,章仁香,王昱婷,楊麗環,黃德福,紀國棟,林建榮,劉銓忠,白添枝,曹爾忠,劉盛良,朱鳳芝,吳英毅,江連福,孔文吉,葉芳雄,張慶忠,陳秀卿,伍錦霖,吳光訓,吳敦義,丁守中,羅世雄,吳志揚,廖國棟,鍾紹和,黃敏惠,廖婉汝,侯彩鳳,楊瓊瓔,林益世,黃健庭,張昌財,蘇起,曹壽民,李全教,劉政鴻,林正峰,吳松柏,謝文政,趙良燕,吳成典,蔡家福,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、徐少萍等47人,為減輕勞僱雙方
保險負擔,配合分項保險,提高各項現金給付標準,以符合
社會期望,對勞工保險條例部分條文提出修訂如附件,是
否有當,敬請公決。"
9,1,勞資爭議處理法部分條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,廖婉汝,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,許舒博,廖婉汝,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,白添枝,廖國棟,羅世雄,將顏福,吳光訓,吳英毅,劉盛良,吳敦義,曹爾忠,朱鳳芝,孔文吉,葉芳雄,鍾紹和,吳志揚,陳秀卿,張慶忠,伍錦霖,張昌財,李全教,謝文政,劉政鴻,林正峰,蘇起,吳松柏,黃健庭,曹壽民,侯彩鳳,林益世,楊瓊瓔,趙良燕,徐耀昌,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、廖婉汝、黃敏惠等44人,鑑於勞
資爭議事件益增,社會成本增加且勞工權益受損,現行勞資
爭議處理制度不符實務需求,爱提出「勞資爭議處理法部分
條文修正草案」。是否有當,敬請公決。"
10,1,公務人員退休法第十六條之一條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,黃敏惠,廖婉汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紀國棟,蔡正元,林建榮,許舒博,徐少萍,章仁香,王昱婷,楊麗環,黃德福,劉銓忠,白添枝,劉盛良,吳志揚,朱鳳芝,廖國棟,鍾紹和,吳英毅,孔文吉,張慶忠,曹爾忠,江連福,葉芳雄,陳秀卿,伍錦霖,吳光訓,吳敦義,羅世雄,黃健庭,楊瓊瓔,侯彩鳳,張昌財,劉政鴻,蘇起,林益世,林正峰,李全教,吳松柏,謝文政,吳成典,蔡家福,林炳坤,趙良燕,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、黃敏惠、廖婉汝等46人,為前未
經考試及格及為改任換敘之學校職員服務年資均為准予併計
辦理退休,而曾服務於公私立托兒所之保育員年資未准併計
,有違公平正義原則,況民國八十四年七月一日以前退休制
度之恩給制,銓敘部以一紙函釋而未准併計年資,有違行政
機關不得恣意及不得差別待遇原則。擬針對「公務人員退休
法第十六條之一」提案修正,增列「公務人員曾任於民國八
十四年至八十五年各縣(市)政府及鄉、鎮、市公所設立托
兒所納編前之保育員任職年資應予追溯採計辦理退休。」。
是否有當?敬請公決。"
